,x,y,col,cluster
VI/104/93,4.23332864964,-2.92210116788,#f894f8,BE92
WE/59/93,5.03819864964,-4.08412116788,#f894f8,BE92
YA/56/93,6.37516864964,-3.34293116788,#f894f8,BE92
YA/61/93,7.45143864964,-2.06735116788,#f894f8,BE92
YA/62/93,6.69743864964,-3.01200116788,#f894f8,BE92
EN/7/94,2.11204864964,-7.64280116788,#37802b,WU95
HK/1/94,3.59922864964,-4.64330116788,#f894f8,BE92
HK/2/94,4.17921864964,-3.88572116788,#f894f8,BE92
HK/55/94,3.18421864964,-5.19692116788,#f894f8,BE92
HK/56/94,3.61446864964,-4.97717116788,#f894f8,BE92
JO/33/94,6.47866864964,-4.69700116788,#f894f8,BE92
JO/47/94,5.87796864964,-3.48953116788,#f894f8,BE92
NL/18/94,2.93104864964,-4.14300116788,#f894f8,BE92
SA/15/94,3.52711864964,-4.87486116788,#f894f8,BE92
SA/25/94,3.88264864964,-4.97448116788,#f894f8,BE92
FI/338/95,1.05369864964,-5.88210116788,#37802b,WU95
FI/339/95,2.90176864964,-8.79137116788,#37802b,WU95
FI/381/95,3.44438864964,-8.69070116788,#37802b,WU95
GE/A9509/95,0.796408649635,-4.52331116788,#37802b,WU95
HK/3/95,3.34836864964,-4.30273116788,#f894f8,BE92
HK/32/95,3.98149864964,-4.80743116788,#f894f8,BE92
HK/38/95,2.76152864964,-4.87814116788,#f894f8,BE92
HK/49/95,2.23736864964,-6.88137116788,#37802b,WU95
HK/55/95,1.12983864964,-5.28704116788,#37802b,WU95
LY/2279/95,1.31932864964,-5.53573116788,#37802b,WU95
NA/933/95,0.668288649635,-5.51017116788,#37802b,WU95
NL/1/95,4.81324864963,-4.94924116788,#f894f8,BE92
NL/271/95,2.13490864964,-8.62047116788,#37802b,WU95
ST/506/95,2.48381864964,-4.99655116788,#f894f8,BE92
VI/75/95,2.62641864964,-4.49844116788,#f894f8,BE92
WU/359/95,0.025568649635,-5.98010116788,#37802b,WU95
BR/8/96,-0.825791350365,-5.82125116788,#37802b,WU95
GE/3958/96,0.517538649635,-6.53658116788,#37802b,WU95
HK/20/96,0.216368649635,-6.39404116788,#37802b,WU95
HK/42/96,2.15260864964,-4.35097116788,#f894f8,BE92
HK/357/96,0.821568649635,-6.05113116788,#37802b,WU95
HK/358/96,-0.567361350365,-6.16892116788,#37802b,WU95
HK/434/96,6.69136864964,-4.68833116788,#f894f8,BE92
LY/1781/96,0.506798649635,-5.79452116788,#37802b,WU95
NL/91/96,4.69316864964,-3.95826116788,#f894f8,BE92
SP/1/96,0.261038649635,-5.73046116788,#37802b,WU95
AU/10/97,-3.24456135036,-9.80543116788,#00afff,SY97
HK/1/97,-0.130811350365,-5.87379116788,#37802b,WU95
HK/280/97,-0.639001350365,-6.91242116788,#37802b,WU95
JO/10/97,-0.280191350365,-5.20579116788,#37802b,WU95
NE/491/97,-0.775141350365,-6.54200116788,#37802b,WU95
NL/300/97,-2.98153135036,-9.54055116788,#00afff,SY97
OS/21/97,0.290848649635,-5.70544116788,#37802b,WU95
OS/244/97,0.124008649635,-5.71947116788,#37802b,WU95
SY/5/97,-3.53619135036,-9.92404116788,#00afff,SY97
NL/5/98,0.667468649635,-5.48295116788,#37802b,WU95
NL/414/98,-1.46829135036,-9.55854116788,#00afff,SY97
NL/427/98,-3.76866135036,-9.25172116788,#00afff,SY97
NL/462/98,-1.74610135036,-9.40901116788,#00afff,SY97
MW/10/99,-3.91265135036,-8.39053116788,#00afff,SY97
NL/301/99,-2.25355135036,-10.3057311679,#00afff,SY97
PM/2007/99,-2.20307135036,-9.53526116788,#00afff,SY97
NL/3/00,-0.902931350365,-11.5798011679,#00afff,SY97
NL/118/01,-2.45727135036,-10.5362311679,#00afff,SY97
NL/124/01,-0.841651350365,-10.8352311679,#00afff,SY97
NL/126/01,-0.887631350365,-10.3820311679,#00afff,SY97
FU/411/02,-3.19143135036,-14.6626811679,#ffd700,FU02
NL/1/02,0.215748649635,-11.3131811679,#00afff,SY97
NL/120/02,-2.43170135036,-9.92292116788,#00afff,SY97
FI/170/03,-2.07429135036,-13.2563011679,#ffd700,FU02
NL/20/03,-1.15988135036,-10.0755111679,#00afff,SY97
NL/22/03,-0.030651350365,-13.8393811679,#ffd700,FU02
NL/213/03,-1.49041135036,-12.5421711679,#ffd700,FU02
NL/217/03,-2.02560135036,-13.7651711679,#ffd700,FU02
NL/222/03,-1.11743135036,-12.9313311679,#ffd700,FU02
